Type,Trans Date,Post Date,Description,Amount
SALE,04/26/2015,04/28/2015,"THE HOME DEPOT 3818",-15.78
SALE,05/22/2015,05/24/2015,"ALADDINS EATERY",-17.80
SALE,05/01/2015,05/03/2015,"USA*Priority Vending",-2.60
SALE,04/17/2015,04/19/2015,"BLENDED HEALTH CAFE",-9.91
SALE,06/01/2015,06/02/2015,"CLEV HTS - UBILL UTILITIE",-45.82
SALE,05/17/2015,05/17/2015,"1-800-FLOWERS.COM,INC.",-90.08
SALE,03/12/2015,03/13/2015,"SQ *RESTRANT ON THE RISE",-7.00
SALE,04/21/2015,04/22/2015,"TARGET        00018044",-133.50
SALE,04/25/2015,04/26/2015,"SQ *BROOKLYN STREET LOCAL",-10.00
SALE,04/07/2015,04/09/2015,"SHELL OIL 57424234003",-6.79
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-3.14
SALE,05/16/2015,05/17/2015,"WHOLEFDS CTR 10199",-91.93
SALE,05/19/2015,05/20/2015,"PINSAS        51275881",-7.00
SALE,04/10/2015,04/12/2015,"THE HOME DEPOT 3818",-30.69
SALE,06/06/2015,06/07/2015,"AT&T*BILL PAYMENT",-254.32
SALE,03/26/2015,03/27/2015,"JOES STONE CRAB RESTAURAN",-4.25
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-3.14
SALE,04/19/2015,04/20/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,05/11/2015,05/13/2015,"SHELL OIL 57424307908",-20.11
SALE,04/26/2015,04/28/2015,"HARDEE'S 1505558",-8.24
SALE,05/03/2015,05/03/2015,"GROUPON INC",-69.00
SALE,04/19/2015,04/20/2015,"WHOLEFDS CTR 10199",-85.79
SALE,05/28/2015,05/31/2015,"SHELL OIL 57424318004",-6.07
SALE,04/26/2015,04/27/2015,"STARBUCKS #09322 DETROIT",-2.49
SALE,03/10/2015,03/11/2015,"STARBUCKS #02321 HUDSON",-4.05
SALE,04/16/2015,04/19/2015,"NORDSTROM #0227",-86.35
SALE,04/23/2015,04/24/2015,"CHIPOTLE 1762",-8.45
SALE,06/08/2015,06/09/2015,"SQ *PHOENIX COFFEE COMPAN",-7.30
SALE,04/03/2015,04/05/2015,"SHELL OIL 57424307908",-3.45
SALE,05/15/2015,05/17/2015,"WHOLEFDS CTR 10199",-75.28
SALE,05/14/2015,05/15/2015,"NETFLIX.COM",-8.63
SALE,05/12/2015,05/13/2015,"ZAGARA'S MARKETPLA",-85.80
SALE,04/18/2015,04/19/2015,"LYNDA.COM, INC.",-25.00
SALE,05/11/2015,05/13/2015,"CINEMARK THEATRES 283",-19.00
SALE,05/10/2015,05/11/2015,"SQ *PHOENIX COFFEE COMPAN",-4.30
SALE,03/15/2015,03/17/2015,"AMERICAN AI 0012349783825",-174.60
SALE,03/19/2015,03/20/2015,"DICK'S CLOTHING&SPORTING",-68.02
SALE,03/28/2015,03/30/2015,"MOSHI MOSHI - SOUTH BE",-57.96
SALE,04/20/2015,04/21/2015,"CVS/PHARMACY #03634",-30.35
SALE,04/14/2015,04/15/2015,"WHOLEFDS CTR 10199",-49.46
SALE,05/01/2015,05/03/2015,"CEDAR LEE THEATRE",-9.25
SALE,05/01/2015,05/03/2015,"SHELL OIL 57424307908",-21.59
SALE,03/25/2015,03/26/2015,"CVS/PHARMACY #05133",-39.53
SALE,03/14/2015,03/15/2015,"CHOOLAAH INDIAN BB",-21.12
SALE,05/23/2015,05/26/2015,"MAHALL'S",-8.00
SALE,03/27/2015,03/29/2015,"PURA VIDA SMOOTHIE BAR",-6.37
SALE,03/25/2015,03/27/2015,"PORTOFINO WINE BANK",-33.21
PAYMENT,04/06/2015,04/06/2015,"Payment Thank You - Web",1986.48
SALE,03/17/2015,03/18/2015,"STARBUCKS #02303 BEACHWOO",-9.40
SALE,04/14/2015,04/15/2015,"SQ *N C  EXTRA TIME",-4.00
SALE,05/09/2015,05/10/2015,"CHESTERVL DUTCH 257",-5.03
SALE,03/29/2015,03/31/2015,"THE WINE SPOT",-14.03
SALE,03/12/2015,03/15/2015,"DAVE'S SUPERMARKET",-37.27
SALE,05/18/2015,05/19/2015,"HIGH THAI D",-46.56
SALE,03/15/2015,03/17/2015,"AMERICAN AI 0010610800257",-13.96
SALE,04/10/2015,04/12/2015,"YOGA ROOTS",-120.00
SALE,05/06/2015,05/07/2015,"USA*Priority Vending",-2.60
SALE,04/25/2015,04/26/2015,"CHIPOTLE 0079",-19.17
SALE,04/04/2015,04/06/2015,"SHELL OIL 57424307908",-5.14
SALE,03/19/2015,03/20/2015,"STARBUCKS #02265 CLEVELAN",-7.70
SALE,05/26/2015,05/27/2015,"SQ *ON THE RISE ARTISAN B",-15.25
SALE,03/25/2015,03/27/2015,"STARBUCKS A   12591509",-6.84
SALE,03/28/2015,03/30/2015,"PURPLE LOTUS SOUTH BEACH",-15.78
SALE,05/25/2015,05/27/2015,"T J MAXX #875",-32.39
